azon	szemaz	fognev
1408	1065	geológus
1409	1066	sebész
1410	1067	irodalomtörténész
1411	1068	keramikus
1412	1069	kémikus
1413	1070	tüdősebész
1414	1071	tsz-elnök
1415	1072	villamosmérnök
1416	1072	politikus
1417	1073	előadóművész
1418	1073	népdalénekes
1419	1074	növénynemesítő
1420	1075	gépészmérnök
1421	1076	fizikus
1422	1077	táncművész
1423	1077	koreográfus
1424	1078	operaénekes
1425	1079	traktoros
1426	1080	tsz-elnök
1427	1081	költő
1428	1082	színész
1429	1082	rendező
1430	1083	fizikus
1431	1084	költő
1432	1084	író
1433	1085	színész
1434	1086	színész
1435	1087	népzenész
1436	1088	rendező
1437	1089	költő
1438	1089	író
1439	1089	pedagógus
1440	1089	piarista pap
1441	1090	színész
1442	1091	textiltervező
1443	1091	iparművész
1444	1092	színész
1445	1093	színész
1446	1093	színigazgató
1447	1094	költő
1448	1094	író
1449	1094	műfordító
1450	1095	színész
1451	1096	kertész
1452	1096	népnevelő
1453	1097	szobrász
1454	1098	karmester
1455	1099	kertészmérnök
1456	1100	botanikus
1457	1101	zeneszerző
1458	1102	operaénekes
1459	1103	orvos
1460	1104	vegyészmérnök
1461	1105	író
1462	1105	irodalomtörténész
1463	1106	író
1464	1106	költő
1465	1106	irodalomtörténész
1466	1106	műfordító
1467	1107	blokk-kitoló munkás
1468	1108	műszerész
1469	1109	biokémikus
1470	1110	geológus
1471	1111	tervezőmérnök
1472	1112	vájár
1473	1112	politikus
1474	1113	zeneszerző
1475	1113	pedagógus
1476	1114	színész
1477	1115	mezőgazdász
1478	1116	építőipari munkás
1479	1117	író
1480	1118	traktoros
1481	1119	festő
1482	1120	operaénekes
1483	1121	zenetanár
1484	1121	karnagy
1485	1122	védőnő
1486	1123	zeneszerző
1487	1124	színész
1488	1125	jogász
1489	1126	tsz-elnök
1490	1126	földműves
1491	1127	mezőgazdász
1492	1127	tsz-elnök
1493	1128	filmrendező
1494	1129	szobrász
1495	1130	agrármérnök
1496	1131	költő
1497	1131	műfordító
1498	1132	író
1499	1133	karnagy
1500	1134	író
1501	1135	színész
1502	1136	színész
1503	1137	tüdőgyógyász
1504	1138	fiziko-kémikus
1505	1139	zenetörténész
1506	1140	jelmeztervező
1507	1141	vegyészmérnök
1508	1142	balettművész
1509	1143	bábszínész
1510	1144	zongoraművész
1511	1144	zeneszerző
1512	1144	jazz-zenész
1513	1145	tüdőgyógyász
1514	1146	író
1515	1147	grafikus
1516	1148	atomfizikus
1517	1149	kábelmester
1518	1150	munkás
1519	1151	geokémikus
1520	1151	geológus
1521	1152	pedagógus
1522	1153	festő
1523	1153	író
1524	1154	könyvtervező
1525	1154	tipográfus
1526	1154	grafikus
1527	1155	író
1528	1156	irodalomtörténész
1529	1156	műfordító
1530	1156	pedagógus
1531	1157	vegyészmérnök
1532	1158	rendező
1533	1159	matematikus
1534	1160	géplakatos
1535	1161	nyelvész
1536	1162	színész
1537	1163	villamosmérnök
1538	1164	építészmérnök
1539	1165	gépészmérnök
1540	1165	energetikus
1541	1166	anatómus
1542	1166	agykutató
1543	1167	biokémikus
1544	1168	festő
1545	1168	rajztanár
1546	1169	agrármérnök
1547	1169	pedagógus
1548	1170	festő
1549	1171	író
1550	1171	műfordító
1551	1171	pedagógus
1552	1172	villamosmérnök
1553	1173	farmakológus
1554	1173	vegyészmérnök
1555	1174	gépészmérnök
1556	1175	zeneszerző
1557	1176	szobrász
1558	1177	hídépítő mérnök
1559	1178	operatőr
1560	1179	mérnök
1561	1180	költő
1562	1180	műfordító
1563	1180	kiadói szerkesztő
1564	1181	operaénekes
1565	1182	vegyész
1566	1183	gépészmérnök
1567	1184	gépészmérnök
1568	1185	építészmérnök
1569	1186	bábművész
1570	1186	színigazgató
1571	1187	író
1572	1188	történész
1573	1188	művészettörténész
1574	1189	agrármérnök
1575	1190	rendező
1576	1190	színigazgató
1577	1191	színész
1578	1192	népművelő
1579	1193	jogász
1580	1194	esztergályos
1581	1195	zeneszerző
1582	1196	filmrendező
1583	1197	selyemszövő
1584	1198	zeneszerző
1585	1199	színész
1586	1200	zenekarvezető
1587	1200	dalszerző
1588	1200	énekes
1589	1200	gitáros
1590	1201	basszusgitáros
1591	1201	dalszerző
1592	1201	zenei rendező
1593	1202	kovács
1594	1203	vasesztergályos
1595	1203	gépészmérnök
1596	1204	gépészmérnök
1597	1205	matematikus
1598	1206	brigádvezető
1599	1206	állattenyésztő
1600	1207	zeneszerző
1601	1207	zenetörténész
1602	1208	festő
1603	1209	filmrendező
1604	1210	színész
1605	1211	előadóművész
1606	1212	fúrómester
1607	1213	hegedűművész
1608	1214	ötvös
1609	1214	restaurátor
1610	1215	vájár
1611	1216	olvasztár
1612	1217	operaénekes
1613	1218	író
1614	1218	költő
1615	1218	műfordító
1616	1219	író
1617	1220	író
1618	1220	költő
1619	1220	műfordító
1620	1221	matematikus
1621	1222	állatfiziológus
1622	1222	orvos
1623	1223	földműves
1624	1224	pedagógus
1625	1225	gépészmérnök
1626	1226	bányamérnök
1627	1227	biofizikus
1628	1228	fonónő
1629	1229	filmrendező
1630	1230	vegyészmérnök
1631	1231	író
1632	1232	rendező
1633	1233	színész
1634	1234	geodéta
1635	1234	geofizikus
1636	1235	hegedűművész
1637	1236	kohómérnök
1638	1237	előhengerész
1639	1238	író
1640	1239	kémikus
1641	1240	papírmérnök
1642	1240	gazdasági vezető
1643	1241	tervezőmérnök
1644	1242	operaénekes
1645	1243	színész
1646	1244	operaénekes
1647	1245	pedagógus
1648	1246	színész
1649	1247	geológus
1650	1248	színész
1651	1249	író
1652	1250	színész
1653	1250	rendező
1654	1251	villamosmérnök
1655	1252	zeneesztéta
1656	1253	traktoros
1657	1254	vasesztergályos
1658	1255	textilmérnök
1659	1256	gazdasági vezető
1660	1257	mozdonyvezető
1661	1258	filmoperatőr
1662	1258	rendező
1663	1259	mezőgazdász
1664	1260	festő
1665	1261	gazdasági vezető
1666	1262	történész
1667	1263	mérnök
1668	1264	hisztológus
1669	1265	színész
1670	1266	építészmérnök
1671	1267	kémikus
1672	1268	vegyész
1673	1269	tsz-elnök
1674	1270	színész
1675	1271	költő
1676	1271	kritikus
1677	1271	műfordító
1678	1272	matematikus
1679	1273	irodalomtörténész
1680	1274	gépészmérnök
1681	1275	villamosmérnök
1682	1276	mikológus
1683	1276	herbológus
1684	1277	festő
1685	1277	grafikus
1686	1278	színész
1687	1279	táncművész
1688	1279	balettpedagógus
1689	1280	zeneesztéta
1690	1281	zongoraművész
1691	1282	szobrász
1692	1283	színész
1693	1284	színész
1694	1285	író
1695	1285	újságíró
1696	1286	gépészmérnök
1697	1287	bányamérnök
1698	1288	immunológus
1699	1289	műhelyvezető
1700	1290	geológus
1701	1291	építész
1702	1292	vegyészmérnök
1703	1293	zeneszerző
1704	1294	kőműves
1705	1295	vegyészmérnök
1706	1296	villamosmérnök
1707	1297	vasesztergályos
1708	1298	színházi
1709	1299	tsz-elnök
1710	1300	költő
1711	1300	politikus
1712	1301	gépészmérnök
1713	1302	kikészítőmester
1714	1303	vájár
1715	1304	gépészmérnök
1716	1305	vájár
1717	1306	író
1718	1306	újságíró
1719	1307	szobrász
1720	1308	vegyészmérnök
1721	1309	kőműves
1722	1310	festő
1723	1310	díszlettervező
1724	1311	matematikus
1725	1312	kémikus
1726	1313	író
1727	1313	költő
1728	1313	műfordító
1729	1314	díszlettervező
1730	1315	ütőhangszeres kamaraművész
1731	1316	bányamérnök
1732	1317	mezőgazdász
1733	1318	agronómus
1734	1319	gépészmérnök
1735	1320	rendező
1736	1321	színész
1737	1322	színművész
1738	1322	rendező
1739	1323	mérnök
1740	1324	zeneszerző
1741	1324	karnagy
1742	1325	zongoraművész
1743	1325	karmester
1744	1326	villamosmérnök
1745	1327	szobrász
1746	1328	geológus
1747	1328	muzeológus
1748	1329	geológus
1749	1330	gépészmérnök
1750	1331	író
1751	1332	zeneszerző
1752	1333	vegyészmérnök
1753	1334	fizikus
1754	1334	pedagógus
1755	1335	kohómérnök
1756	1336	író
1757	1336	költő
1758	1337	orvos
1759	1338	szobrász
1760	1339	tsz-elnök
1761	1340	DÉFOSZ-titkár
1762	1341	festőművész
1763	1342	zeneszerző
1764	1343	geológus
1765	1344	tv-riporter
1766	1344	újságíró
1767	1345	szobrász
1768	1345	éremművész
1769	1346	pedagógus
1770	1347	balettművész
1771	1348	gépészmérnök
1772	1349	gazdasági vezető
1773	1350	építész
1774	1351	orvos
1775	1352	zeneszerző
1776	1353	fiziológus
1777	1354	költő
1778	1354	műfordító
1779	1355	agrármérnök
1780	1356	kohómérnök
1781	1357	villamosmérnök
1782	1358	gépészmérnök
1783	1359	elektrofizikus
1784	1360	orvos
1785	1360	mikrobiológus
1786	1361	építészmérnök
1787	1362	pedagógus
1788	1363	bányamérnök
1789	1364	hegedűművész
1790	1365	művészettörténész
1791	1366	festő
1792	1366	grafikus
1793	1367	kohómérnök
1794	1368	író
1795	1368	szociográfus
1796	1369	költő
1797	1370	szerveskémikus
1798	1371	színművész
1799	1372	mérnök
1800	1373	anatómus
1801	1374	botanikus
1802	1374	muzeológus
1803	1375	gépészmérnök
1804	1376	színházi rendező
1805	1377	radiológus orvos
1806	1378	szabó
1807	1379	vájár
1808	1380	gépészmérnök
1809	1381	történész
1810	1382	nyelvész
1811	1383	színművész
1812	1383	rendező
1813	1384	filmrendező
1814	1385	operaénekes
1815	1386	zenész
1816	1386	zeneszerző
1817	1387	színművész
1818	1388	szobrászművész
1819	1389	rendező
1820	1390	színművész
1821	1391	építész
1822	1392	filmrendező
1823	1393	hegedűművész
1824	1393	karmester
1825	1394	festőművész
1826	1395	költő
1827	1395	drámaíró
1828	1396	karnagy
1829	1397	gordonkaművész
1830	1398	színművész
1831	1399	színművész
1832	1400	építészmérnök
1833	1400	tárgytervező
1834	1401	hegedűművész
1835	1402	színművész
1836	1402	rendező
1837	1403	költő
1838	1403	műfordító
1839	1404	költő
1840	1404	író
1841	1404	műfordító
1842	1405	költő
1843	1405	író
1844	1405	műfordító
1845	1406	színművész
1846	1407	filmrendező
1847	1407	író
1848	1407	dramaturg
1849	1408	festőművész
1850	1408	grafikusművész
1851	1408	szobrászművész
1852	1408	környezettervező
1853	1409	karmester
1854	1410	előadóművész
1855	1411	rendező
1856	1412	rendező
1857	1413	forgatókönyvíró
1858	1413	dramaturg
1859	1414	balettművész
1860	1415	előadóművész
1861	1416	festőművész
1862	1417	színművész
1863	1418	magánénekes
1864	1419	operatőr
1865	1420	színművész
1866	1421	író
1867	1421	költő
1868	1421	műfordító
1869	1422	hegedűművész
1870	1423	színművész
1871	1424	költő
1872	1425	építészmérnök
1873	1002	zongoraművész
